Recording	Participant	Timeline	TOI	Interval	Media	AOI	Total_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Go-past_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	de¡4	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	del	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	del2	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	del3	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	del4	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	del5	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	desambiguacion	600	2	3794	600	300	266	333	2	3794	333	633	633	633	633	1	3794	633	666	666	666	666	1	3761	666	0			0			1	3761	4427	47,7	485,74													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	Descripcion	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	desde	183	1	31973	183	183	183	183	1	31973	183	183	183	183	183	1	31973	183	217	217	217	217	1	31940	217	0			0			0	31940	32157	53,49	57,75													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	domesticada	533	2	15169	533	266	200	333	2	15169	200	533	266	200	333	2	15169	200	633	316	233	400	2	15136	233	0			0			0	15136	15369	613,12	60,01													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	Doyle	150	1	34638	150	150	150	150	1	34638	150	150	150	150	150	1	34638	150	183	183	183	183	1	34605	183	0			0			0	34605	34788	75,41	44,75													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	editar	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	el	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	el1	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	el2	266	1	31674	266	266	266	266	1	31674	266	266	266	266	266	1	31674	266	300	300	300	300	1	31640	300	0			0			0	31640	31940	38,1	53,49													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	el3	450	2	15385	450	225	183	266	2	15385	183	450	225	183	266	2	15385	183	500	250	200	300	2	15369	200	0			0			0	15369	15569	60,01	47,52													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	el4	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	en	183	1	6475	183	183	183	183	1	6475	183	183	183	183	183	1	6475	183	200	200	200	200	1	6459	200	0			0			0	6459	6658	44,19	135,17													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	en1	100	1	9290	100	100	100	100	1	9290	100	100	100	100	100	1	9290	100	117	117	117	117	1	9273	117	0			0			0		9390		256,08													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	en2	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	en3	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	en5	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	en6	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	en7	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	En4	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	Enrique	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	erecto	300	1	40217	300	300	300	300	1	40217	300	300	300	300	300	1	40217	300	350	350	350	350	1	40167	350	0			0			0	40167	40517	586,94	428,36													
