AOI,Oscuro_Total,Oscuro_Mean,Oscuro_Std,Claro_Total,Claro_Mean,Claro_Std,t_statistic,p_value,Significant,Difference_%
región,0.0,0.0,0.0,12.0,0.35294117647058826,0.6911717297975237,-2.977527773470979,0.0040604787967007646,Yes,-100.0
separado,12.0,0.35294117647058826,0.6911717297975237,0.0,0.0,0.0,2.977527773470979,0.0040604787967007646,Yes,0.0
Papa,0.0,0.0,0.0,12.0,0.35294117647058826,0.6911717297975237,-2.977527773470979,0.0040604787967007646,Yes,-100.0
ropa,12.0,0.35294117647058826,0.6911717297975237,0.0,0.0,0.0,2.977527773470979,0.0040604787967007646,Yes,0.0
Amplio,12.0,0.35294117647058826,0.6911717297975237,0.0,0.0,0.0,2.977527773470979,0.0040604787967007646,Yes,0.0
principales,12.0,0.35294117647058826,0.6911717297975237,0.0,0.0,0.0,2.977527773470979,0.0040604787967007646,Yes,0.0
gracias,0.0,0.0,0.0,12.0,0.35294117647058826,0.6911717297975237,-2.977527773470979,0.0040604787967007646,Yes,-100.0
para14,12.0,0.35294117647058826,0.6911717297975237,0.0,0.0,0.0,2.977527773470979,0.0040604787967007646,Yes,0.0
telefono,10.0,0.29411764705882354,0.5788919281935353,0.0,0.0,0.0,2.9625319820519835,0.004238802758592067,Yes,0.0
densidad,10.0,0.29411764705882354,0.5788919281935353,0.0,0.0,0.0,2.9625319820519835,0.004238802758592067,Yes,0.0
que,10.0,0.29411764705882354,0.5788919281935353,0.0,0.0,0.0,2.9625319820519835,0.004238802758592067,Yes,0.0
reducción,10.0,0.29411764705882354,0.5788919281935353,0.0,0.0,0.0,2.962531982051983,0.004238802758592076,Yes,0.0
espalda1,10.0,0.29411764705882354,0.5788919281935353,0.0,0.0,0.0,2.962531982051983,0.004238802758592076,Yes,0.0
mundo,0.0,0.0,0.0,10.0,0.29411764705882354,0.5788919281935353,-2.962531982051983,0.004238802758592076,Yes,-100.0
mochila4,11.0,0.3235294117647059,0.6382071590765911,0.0,0.0,0.0,2.955912370674615,0.004319808866498805,Yes,0.0
onjetos,11.0,0.3235294117647059,0.638207159076591,0.0,0.0,0.0,2.955912370674615,0.004319808866498805,Yes,0.0
aire,7.0,0.20588235294117646,0.4104256301219048,0.0,0.0,0.0,2.9249881291307074,0.00471760191139524,Yes,0.0
una3,0.0,0.0,0.0,7.0,0.20588235294117646,0.41042563012190475,-2.9249881291307074,0.00471760191139524,Yes,-100.0
del3,0.0,0.0,0.0,7.0,0.20588235294117646,0.4104256301219048,-2.9249881291307074,0.00471760191139524,Yes,-100.0
que2,7.0,0.20588235294117646,0.4104256301219048,0.0,0.0,0.0,2.9249881291307074,0.00471760191139524,Yes,0.0
días,7.0,0.20588235294117646,0.4104256301219048,0.0,0.0,0.0,2.9249881291307074,0.00471760191139524,Yes,0.0
diseño1,7.0,0.20588235294117646,0.4104256301219048,0.0,0.0,0.0,2.9249881291307074,0.00471760191139524,Yes,0.0
sus3,0.0,0.0,0.0,7.0,0.20588235294117646,0.41042563012190475,-2.9249881291307074,0.00471760191139524,Yes,-100.0
Titulo,0.0,0.0,0.0,24.0,0.7058823529411765,1.4255123855994118,-2.887359019114727,0.005247317537031616,Yes,-100.0
diseño,13.0,0.38235294117647056,0.7790711595597376,0.0,0.0,0.0,2.861717545946023,0.005639202833621479,Yes,0.0
adecuada1,12.0,0.35294117647058826,0.7337059497355612,0.0,0.0,0.0,2.8049152694643333,0.006605300606908974,Yes,0.0
alimentos,0.0,0.0,0.0,12.0,0.35294117647058826,0.7337059497355612,-2.8049152694643333,0.006605300606908974,Yes,-100.0
proteccion,12.0,0.35294117647058826,0.7337059497355612,0.0,0.0,0.0,2.8049152694643333,0.006605300606908974,Yes,0.0
adecuada,14.0,0.4117647058823529,0.8569730754521468,0.0,0.0,0.0,2.8016985139566315,0.006664322622193114,Yes,0.0
comun,0.0,0.0,0.0,14.0,0.4117647058823529,0.8569730754521468,-2.8016985139566306,0.0066643226221931315,Yes,-100.0
comodo,15.0,0.4411764705882353,0.9274002918091905,0.0,0.0,0.0,2.773860219646029,0.007195731291171109,Yes,0.0
resistente3,8.0,0.23529411764705882,0.4959730887990136,0.0,0.0,0.0,2.7662562992324986,0.007347501481897519,Yes,0.0
tamaño,8.0,0.23529411764705882,0.4959730887990136,0.0,0.0,0.0,2.7662562992324986,0.007347501481897519,Yes,0.0
EasyJet,8.0,0.23529411764705882,0.4959730887990136,0.0,0.0,0.0,2.7662562992324986,0.007347501481897519,Yes,0.0
para2,8.0,0.23529411764705882,0.4959730887990136,0.0,0.0,0.0,2.7662562992324986,0.007347501481897519,Yes,0.0
aunque,0.0,0.0,0.0,8.0,0.23529411764705882,0.4959730887990136,-2.7662562992324986,0.007347501481897519,Yes,-100.0
especie,0.0,0.0,0.0,8.0,0.23529411764705882,0.4959730887990136,-2.7662562992324986,0.007347501481897519,Yes,-100.0
cabina3,8.0,0.23529411764705882,0.4959730887990136,0.0,0.0,0.0,2.7662562992324986,0.007347501481897519,Yes,0.0
cabina4,8.0,0.23529411764705882,0.4959730887990136,0.0,0.0,0.0,2.7662562992324986,0.007347501481897519,Yes,0.0
bolsillos1,16.0,0.47058823529411764,0.9919461775980273,0.0,0.0,0.0,2.766256299232498,0.007347501481897519,Yes,0.0
como,8.0,0.23529411764705882,0.49597308879901364,0.0,0.0,0.0,2.766256299232498,0.007347501481897519,Yes,0.0
uso1,0.0,0.0,0.0,8.0,0.23529411764705882,0.4959730887990136,-2.7662562992324986,0.007347501481897519,Yes,-100.0
Cuenta,8.0,0.23529411764705882,0.4959730887990136,0.0,0.0,0.0,2.7662562992324986,0.007347501481897519,Yes,0.0
del1,8.0,0.23529411764705882,0.4959730887990136,0.0,0.0,0.0,2.7662562992324986,0.007347501481897519,Yes,0.0
las2,0.0,0.0,0.0,8.0,0.23529411764705882,0.4959730887990136,-2.7662562992324986,0.007347501481897519,Yes,-100.0
TituloImagen,0.0,0.0,0.0,22.0,0.6470588235294118,1.3680854337396824,-2.7578459503232384,0.007518784538821505,Yes,-100.0
nuestra3,11.0,0.3235294117647059,0.6840427168698412,0.0,0.0,0.0,2.7578459503232384,0.007518784538821505,Yes,0.0
debajo,11.0,0.3235294117647059,0.6840427168698412,0.0,0.0,0.0,2.7578459503232384,0.007518784538821505,Yes,0.0
botanica,0.0,0.0,0.0,11.0,0.3235294117647059,0.6840427168698412,-2.7578459503232384,0.007518784538821505,Yes,-100.0
forrajera,0.0,0.0,0.0,13.0,0.38235294117647056,0.817042185118868,-2.7287227605368463,0.008140578504542906,Yes,-100.0
mochila3,13.0,0.38235294117647056,0.8170421851188681,0.0,0.0,0.0,2.7287227605368463,0.008140578504542906,Yes,0.0
material,13.0,0.38235294117647056,0.817042185118868,0.0,0.0,0.0,2.7287227605368463,0.008140578504542906,Yes,0.0
curiosidad,0.0,0.0,0.0,13.0,0.38235294117647056,0.817042185118868,-2.7287227605368463,0.008140578504542906,Yes,-100.0
duración,10.0,0.29411764705882354,0.6290643251160328,0.0,0.0,0.0,2.7262487840313536,0.008195511264439072,Yes,0.0
herbacea2,0.0,0.0,0.0,10.0,0.29411764705882354,0.6290643251160328,-2.726248784031353,0.008195511264439079,Yes,-100.0
comodidad,9.0,0.2647058823529412,0.5672273623252055,0.0,0.0,0.0,2.721108622044329,0.008310730915591417,Yes,0.0
alivian,9.0,0.2647058823529412,0.5672273623252055,0.0,0.0,0.0,2.721108622044329,0.008310730915591417,Yes,0.0
cuenta3,9.0,0.2647058823529412,0.5672273623252055,0.0,0.0,0.0,2.721108622044329,0.008310730915591417,Yes,0.0
Nuestra4,9.0,0.2647058823529412,0.5672273623252055,0.0,0.0,0.0,2.721108622044329,0.008310730915591417,Yes,0.0
XVIII,0.0,0.0,0.0,9.0,0.2647058823529412,0.5672273623252055,-2.721108622044329,0.008310730915591417,Yes,-100.0
MenuSubtitulo,0.0,0.0,0.0,14.0,0.4117647058823529,0.8916327229616304,-2.692790574150389,0.00897249446619036,Yes,-100.0
estabilidad,19.0,0.5588235294117647,1.2108393400069135,0.0,0.0,0.0,2.6910862655726593,0.009013818107691958,Yes,0.0
mayoria,21.0,0.6176470588235294,1.3487301745638254,0.0,0.0,0.0,2.6702674529821273,0.009532821623267547,Yes,0.0
estres,6.0,0.17647058823529413,0.3869529949759475,0.0,0.0,0.0,2.6592157812837547,0.009819276063066889,Yes,0.0
portatil,6.0,0.17647058823529413,0.3869529949759475,0.0,0.0,0.0,2.6592157812837547,0.009819276063066889,Yes,0.0
fue1,0.0,0.0,0.0,6.0,0.17647058823529413,0.3869529949759475,-2.6592157812837547,0.009819276063066889,Yes,-100.0
flores,0.0,0.0,0.0,6.0,0.17647058823529413,0.3869529949759475,-2.6592157812837547,0.009819276063066889,Yes,-100.0
pertenencias,12.0,0.35294117647058826,0.773905989951895,0.0,0.0,0.0,2.6592157812837547,0.009819276063066889,Yes,0.0
Etihad,6.0,0.17647058823529413,0.3869529949759475,0.0,0.0,0.0,2.6592157812837547,0.009819276063066889,Yes,0.0
con4,6.0,0.17647058823529413,0.3869529949759475,0.0,0.0,0.0,2.6592157812837547,0.009819276063066889,Yes,0.0
durante,6.0,0.17647058823529413,0.3869529949759475,0.0,0.0,0.0,2.6592157812837547,0.009819276063066889,Yes,0.0
con7,6.0,0.17647058823529413,0.3869529949759475,0.0,0.0,0.0,2.6592157812837547,0.009819276063066889,Yes,0.0
lo1,6.0,0.17647058823529413,0.3869529949759475,0.0,0.0,0.0,2.6592157812837547,0.009819276063066889,Yes,0.0
para9,6.0,0.17647058823529413,0.3869529949759475,0.0,0.0,0.0,2.6592157812837547,0.009819276063066889,Yes,0.0
que1,6.0,0.17647058823529413,0.3869529949759475,0.0,0.0,0.0,2.6592157812837547,0.009819276063066889,Yes,0.0
viaje2,6.0,0.17647058823529413,0.3869529949759475,0.0,0.0,0.0,2.6592157812837547,0.009819276063066889,Yes,0.0
Nuestra2,6.0,0.17647058823529413,0.3869529949759475,0.0,0.0,0.0,2.6592157812837547,0.009819276063066889,Yes,0.0
garantizar,16.0,0.47058823529411764,1.0512703460401887,0.0,0.0,0.0,2.6101538701399294,0.011188010287349302,Yes,0.0
seguridad,11.0,0.3235294117647059,0.7269941534212875,0.0,0.0,0.0,2.5949100521505764,0.011647306443734507,Yes,0.0
MenuApariencia,0.0,0.0,0.0,21.0,0.6176470588235294,1.4145286372488712,-2.546056822855998,0.013236818600593099,Yes,-100.0
New_Easyjet,10.0,0.29411764705882354,0.6755205294731985,0.0,0.0,0.0,2.5387620014487378,0.01349031395074101,Yes,0.0
acceso,10.0,0.29411764705882354,0.6755205294731985,0.0,0.0,0.0,2.5387620014487373,0.013490313950741033,Yes,0.0
cuatro,10.0,0.29411764705882354,0.6755205294731985,0.0,0.0,0.0,2.5387620014487373,0.013490313950741033,Yes,0.0
ventilado,10.0,0.29411764705882354,0.6755205294731985,0.0,0.0,0.0,2.5387620014487373,0.013490313950741033,Yes,0.0
suaves,12.0,0.35294117647058826,0.8121185516225344,0.0,0.0,0.0,2.5340918731611968,0.013654896213677608,Yes,0.0
portatiles,15.0,0.4411764705882353,1.0207298776199087,0.0,0.0,0.0,2.5202346218531595,0.014153976738702176,Yes,0.0
Parmentier,0.0,0.0,0.0,13.0,0.38235294117647056,0.8881272732418117,-2.5103176920968067,0.014521187105816366,Yes,-100.0
