AOI,Scenario,Oscuro_Total,Oscuro_Mean,Claro_Total,Claro_Mean,t_statistic,p_value,Significant,Difference_%
Papa,Overall,0.0,0.0,12.0,0.35294117647058826,-2.977527773470979,0.0040604787967007646,Yes,-100.0
principales,Overall,12.0,0.35294117647058826,0.0,0.0,2.977527773470979,0.0040604787967007646,Yes,0.0
gracias,Overall,0.0,0.0,12.0,0.35294117647058826,-2.977527773470979,0.0040604787967007646,Yes,-100.0
telefono,Overall,10.0,0.29411764705882354,0.0,0.0,2.9625319820519835,0.004238802758592067,Yes,0.0
densidad,Overall,10.0,0.29411764705882354,0.0,0.0,2.9625319820519835,0.004238802758592067,Yes,0.0
que,Overall,10.0,0.29411764705882354,0.0,0.0,2.9625319820519835,0.004238802758592067,Yes,0.0
reducción,Overall,10.0,0.29411764705882354,0.0,0.0,2.962531982051983,0.004238802758592076,Yes,0.0
mundo,Overall,0.0,0.0,10.0,0.29411764705882354,-2.962531982051983,0.004238802758592076,Yes,-100.0
espalda1,Overall,10.0,0.29411764705882354,0.0,0.0,2.962531982051983,0.004238802758592076,Yes,0.0
mochila4,Overall,11.0,0.3235294117647059,0.0,0.0,2.955912370674615,0.004319808866498805,Yes,0.0
onjetos,Overall,11.0,0.3235294117647059,0.0,0.0,2.955912370674615,0.004319808866498805,Yes,0.0
del3,Overall,0.0,0.0,7.0,0.20588235294117646,-2.9249881291307074,0.00471760191139524,Yes,-100.0
diseño1,Overall,7.0,0.20588235294117646,0.0,0.0,2.9249881291307074,0.00471760191139524,Yes,0.0
días,Overall,7.0,0.20588235294117646,0.0,0.0,2.9249881291307074,0.00471760191139524,Yes,0.0
sus3,Overall,0.0,0.0,7.0,0.20588235294117646,-2.9249881291307074,0.00471760191139524,Yes,-100.0
que2,Overall,7.0,0.20588235294117646,0.0,0.0,2.9249881291307074,0.00471760191139524,Yes,0.0
una3,Overall,0.0,0.0,7.0,0.20588235294117646,-2.9249881291307074,0.00471760191139524,Yes,-100.0
aire,Overall,7.0,0.20588235294117646,0.0,0.0,2.9249881291307074,0.00471760191139524,Yes,0.0
Titulo,Overall,0.0,0.0,24.0,0.7058823529411765,-2.887359019114727,0.005247317537031616,Yes,-100.0
diseño,Overall,13.0,0.38235294117647056,0.0,0.0,2.861717545946023,0.005639202833621479,Yes,0.0
alimentos,Overall,0.0,0.0,12.0,0.35294117647058826,-2.8049152694643333,0.006605300606908974,Yes,-100.0
proteccion,Overall,12.0,0.35294117647058826,0.0,0.0,2.8049152694643333,0.006605300606908974,Yes,0.0
adecuada1,Overall,12.0,0.35294117647058826,0.0,0.0,2.8049152694643333,0.006605300606908974,Yes,0.0
adecuada,Overall,14.0,0.4117647058823529,0.0,0.0,2.8016985139566315,0.006664322622193114,Yes,0.0
comun,Overall,0.0,0.0,14.0,0.4117647058823529,-2.8016985139566306,0.0066643226221931315,Yes,-100.0
comodo,Overall,15.0,0.4411764705882353,0.0,0.0,2.773860219646029,0.007195731291171109,Yes,0.0
del1,Overall,8.0,0.23529411764705882,0.0,0.0,2.7662562992324986,0.007347501481897519,Yes,0.0
uso1,Overall,0.0,0.0,8.0,0.23529411764705882,-2.7662562992324986,0.007347501481897519,Yes,-100.0
resistente3,Overall,8.0,0.23529411764705882,0.0,0.0,2.7662562992324986,0.007347501481897519,Yes,0.0
tamaño,Overall,8.0,0.23529411764705882,0.0,0.0,2.7662562992324986,0.007347501481897519,Yes,0.0
para2,Overall,8.0,0.23529411764705882,0.0,0.0,2.7662562992324986,0.007347501481897519,Yes,0.0
especie,Overall,0.0,0.0,8.0,0.23529411764705882,-2.7662562992324986,0.007347501481897519,Yes,-100.0
las2,Overall,0.0,0.0,8.0,0.23529411764705882,-2.7662562992324986,0.007347501481897519,Yes,-100.0
aunque,Overall,0.0,0.0,8.0,0.23529411764705882,-2.7662562992324986,0.007347501481897519,Yes,-100.0
como,Overall,8.0,0.23529411764705882,0.0,0.0,2.766256299232498,0.007347501481897519,Yes,0.0
EasyJet,Overall,8.0,0.23529411764705882,0.0,0.0,2.7662562992324986,0.007347501481897519,Yes,0.0
Cuenta,Overall,8.0,0.23529411764705882,0.0,0.0,2.7662562992324986,0.007347501481897519,Yes,0.0
bolsillos1,Overall,16.0,0.47058823529411764,0.0,0.0,2.766256299232498,0.007347501481897519,Yes,0.0
cabina3,Overall,8.0,0.23529411764705882,0.0,0.0,2.7662562992324986,0.007347501481897519,Yes,0.0
cabina4,Overall,8.0,0.23529411764705882,0.0,0.0,2.7662562992324986,0.007347501481897519,Yes,0.0
debajo,Overall,11.0,0.3235294117647059,0.0,0.0,2.7578459503232384,0.007518784538821505,Yes,0.0
TituloImagen,Overall,0.0,0.0,22.0,0.6470588235294118,-2.7578459503232384,0.007518784538821505,Yes,-100.0
botanica,Overall,0.0,0.0,11.0,0.3235294117647059,-2.7578459503232384,0.007518784538821505,Yes,-100.0
nuestra3,Overall,11.0,0.3235294117647059,0.0,0.0,2.7578459503232384,0.007518784538821505,Yes,0.0
curiosidad,Overall,0.0,0.0,13.0,0.38235294117647056,-2.7287227605368463,0.008140578504542906,Yes,-100.0
forrajera,Overall,0.0,0.0,13.0,0.38235294117647056,-2.7287227605368463,0.008140578504542906,Yes,-100.0
mochila3,Overall,13.0,0.38235294117647056,0.0,0.0,2.7287227605368463,0.008140578504542906,Yes,0.0
material,Overall,13.0,0.38235294117647056,0.0,0.0,2.7287227605368463,0.008140578504542906,Yes,0.0
duración,Overall,10.0,0.29411764705882354,0.0,0.0,2.7262487840313536,0.008195511264439072,Yes,0.0
herbacea2,Overall,0.0,0.0,10.0,0.29411764705882354,-2.726248784031353,0.008195511264439079,Yes,-100.0
XVIII,Overall,0.0,0.0,9.0,0.2647058823529412,-2.721108622044329,0.008310730915591417,Yes,-100.0
cuenta3,Overall,9.0,0.2647058823529412,0.0,0.0,2.721108622044329,0.008310730915591417,Yes,0.0
Nuestra4,Overall,9.0,0.2647058823529412,0.0,0.0,2.721108622044329,0.008310730915591417,Yes,0.0
comodidad,Overall,9.0,0.2647058823529412,0.0,0.0,2.721108622044329,0.008310730915591417,Yes,0.0
alivian,Overall,9.0,0.2647058823529412,0.0,0.0,2.721108622044329,0.008310730915591417,Yes,0.0
MenuSubtitulo,Overall,0.0,0.0,14.0,0.4117647058823529,-2.692790574150389,0.00897249446619036,Yes,-100.0
estabilidad,Overall,19.0,0.5588235294117647,0.0,0.0,2.6910862655726593,0.009013818107691958,Yes,0.0
mayoria,Overall,21.0,0.6176470588235294,0.0,0.0,2.6702674529821273,0.009532821623267547,Yes,0.0
lo1,Overall,6.0,0.17647058823529413,0.0,0.0,2.6592157812837547,0.009819276063066889,Yes,0.0
viaje2,Overall,6.0,0.17647058823529413,0.0,0.0,2.6592157812837547,0.009819276063066889,Yes,0.0
pertenencias,Overall,12.0,0.35294117647058826,0.0,0.0,2.6592157812837547,0.009819276063066889,Yes,0.0
con7,Overall,6.0,0.17647058823529413,0.0,0.0,2.6592157812837547,0.009819276063066889,Yes,0.0
con4,Overall,6.0,0.17647058823529413,0.0,0.0,2.6592157812837547,0.009819276063066889,Yes,0.0
para9,Overall,6.0,0.17647058823529413,0.0,0.0,2.6592157812837547,0.009819276063066889,Yes,0.0
fue1,Overall,0.0,0.0,6.0,0.17647058823529413,-2.6592157812837547,0.009819276063066889,Yes,-100.0
flores,Overall,0.0,0.0,6.0,0.17647058823529413,-2.6592157812837547,0.009819276063066889,Yes,-100.0
que1,Overall,6.0,0.17647058823529413,0.0,0.0,2.6592157812837547,0.009819276063066889,Yes,0.0
portatil,Overall,6.0,0.17647058823529413,0.0,0.0,2.6592157812837547,0.009819276063066889,Yes,0.0
Nuestra2,Overall,6.0,0.17647058823529413,0.0,0.0,2.6592157812837547,0.009819276063066889,Yes,0.0
estres,Overall,6.0,0.17647058823529413,0.0,0.0,2.6592157812837547,0.009819276063066889,Yes,0.0
durante,Overall,6.0,0.17647058823529413,0.0,0.0,2.6592157812837547,0.009819276063066889,Yes,0.0
Etihad,Overall,6.0,0.17647058823529413,0.0,0.0,2.6592157812837547,0.009819276063066889,Yes,0.0
garantizar,Overall,16.0,0.47058823529411764,0.0,0.0,2.6101538701399294,0.011188010287349302,Yes,0.0
seguridad,Overall,11.0,0.3235294117647059,0.0,0.0,2.5949100521505764,0.011647306443734507,Yes,0.0
MenuApariencia,Overall,0.0,0.0,21.0,0.6176470588235294,-2.546056822855998,0.013236818600593099,Yes,-100.0
New_Easyjet,Overall,10.0,0.29411764705882354,0.0,0.0,2.5387620014487378,0.01349031395074101,Yes,0.0
cuatro,Overall,10.0,0.29411764705882354,0.0,0.0,2.5387620014487373,0.013490313950741033,Yes,0.0
acceso,Overall,10.0,0.29411764705882354,0.0,0.0,2.5387620014487373,0.013490313950741033,Yes,0.0
ventilado,Overall,10.0,0.29411764705882354,0.0,0.0,2.5387620014487373,0.013490313950741033,Yes,0.0
suaves,Overall,12.0,0.35294117647058826,0.0,0.0,2.5340918731611968,0.013654896213677608,Yes,0.0
portatiles,Overall,15.0,0.4411764705882353,0.0,0.0,2.5202346218531595,0.014153976738702176,Yes,0.0
Parmentier,Overall,0.0,0.0,13.0,0.38235294117647056,-2.5103176920968067,0.014521187105816366,Yes,-100.0
ColumnaIzquierdaImagenes,Overall,7.0,0.20588235294117646,0.0,0.0,2.5083518082147727,0.014594993494445478,Yes,0.0
cómoda12,Overall,7.0,0.20588235294117646,0.0,0.0,2.508351808214772,0.014594993494445485,Yes,0.0
afincado,Overall,0.0,0.0,7.0,0.20588235294117646,-2.508351808214772,0.014594993494445485,Yes,-100.0
hace2,Overall,7.0,0.20588235294117646,0.0,0.0,2.508351808214772,0.014594993494445485,Yes,0.0
con3,Overall,7.0,0.20588235294117646,0.0,0.0,2.508351808214772,0.014594993494445485,Yes,0.0
cuenta2,Overall,7.0,0.20588235294117646,0.0,0.0,2.508351808214772,0.014594993494445485,Yes,0.0
